Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Main Switchboard,Withdrawable Circuit Breakers,34.5,Carbon Steel,52.3,Copper,25.0,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,898.75,Fabricated Steel,89.1,Stainless Steel,2.7,24.0,Welded,1.0
Main Switchboard,PLC and Logic Assemblies,20.17,Epoxy Resin,46.2,Copper,25.7,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Protection Relays and Meters,12.61,FR4 Composite,44.1,Copper,30.8,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,12.87,Polyamide,68.3,Polycarbonate,23.8,12.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Contactors,19.25,Copper,48.5,Silver-Tin Oxide,20.2,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,33.96,Alloy Steel,58.4,Copper,25.0,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,22.47,FR4 Composite,49.6,Copper,30.2,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,18.08,Copper,98.1,Carbon Steel,3.8,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,27.22,Carbon Steel,89.1,Polyamide,8.2,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,221.36,Copper,98.7,Carbon Steel,1.1,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,15.89,Copper,67.2,PVC,27.5,16.0,Extruded / Stranded,2.0
Main Switchboard,Steel Frame / Chassis,913.65,Stainless Steel 316L,92.6,Stainless Steel,2.9,28.0,Welded,1.0
Main Switchboard,Steel Frame / Chassis,878.07,Carbon Steel,92.5,Stainless Steel,2.8,29.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,12.93,Polyamide,72.1,Polycarbonate,23.2,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Control Wiring Harness,15.37,Copper,62.0,PVC,28.7,15.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Contactors,19.2,Copper,50.9,Silver-Tin Oxide,18.7,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,20.13,FR4 Composite,48.6,Copper,30.3,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Protection Relays and Meters,15.28,FR4 Composite,42.3,Copper,30.3,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,27.03,Carbon Steel,87.1,Polyamide,7.8,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,230.46,Copper,99.0,Carbon Steel,1.0,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,17.0,Copper,94.2,Carbon Steel,4.1,35.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,39.6,Carbon Steel,56.5,Copper,24.0,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,236.4,Copper,99.0,Carbon Steel,1.0,21.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,18.16,Copper,51.6,Silver-Tin Oxide,21.0,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,21.64,FR4 Composite,50.5,Copper,30.3,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Steel Frame / Chassis,871.3,Carbon Steel,94.1,Stainless Steel,3.1,26.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,11.09,Polyamide,67.2,Polycarbonate,20.0,12.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Control Wiring Harness,17.25,Copper,64.4,PVC,29.6,13.0,Extruded / Stranded,2.0
Main Switchboard,Door Panels and Covers,27.13,Carbon Steel,88.3,Polyamide,8.0,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,35.6,Carbon Steel,56.6,Copper,23.4,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,13.44,FR4 Composite,40.3,Copper,32.3,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,16.56,Copper,99.0,Carbon Steel,3.7,34.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,27.45,Carbon Steel,88.6,Polyamide,7.7,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,217.23,Copper,92.9,Carbon Steel,1.0,20.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,18.07,Copper,51.3,Silver-Tin Oxide,18.7,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,947.63,Carbon Steel,93.0,Stainless Steel,3.1,33.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,10.87,FR Plastics,64.0,Polycarbonate,22.3,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Circuit Breakers,37.48,Carbon Steel,56.5,Copper,26.6,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,14.95,Copper,67.9,PVC,28.8,14.0,Extruded / Stranded,2.0
Main Switchboard,Earthing and Grounding Bars,17.51,Copper,97.8,Carbon Steel,3.7,34.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,21.24,FR4 Composite,45.6,Copper,29.9,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Protection Relays and Meters,14.36,FR4 Composite,42.6,Copper,34.5,12.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,27.31,Carbon Steel,87.0,Polyamide,8.1,23.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,880.06,Carbon Steel,96.1,Stainless Steel,3.1,29.0,Welded,1.0
Main Switchboard,Copper Busbar System,240.74,Cu-ETP Copper,99.0,Carbon Steel,1.0,26.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.8,Polyamide,71.0,Polycarbonate,22.7,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Protection Relays and Meters,12.81,FR4 Composite,41.1,Copper,32.6,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,16.84,Copper,62.4,PVC,31.6,13.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Circuit Breakers,39.93,Carbon Steel,51.9,Copper,26.7,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,18.1,Cu-ETP Copper,94.8,Carbon Steel,4.3,25.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,16.63,Copper,48.3,Silver-Tin Oxide,18.5,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,19.85,FR4 Composite,50.1,Copper,26.5,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,240.26,Copper,99.0,Carbon Steel,1.0,23.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,19.53,FR4 Composite,48.0,Copper,28.1,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Control Wiring Harness,15.0,Copper,62.9,PVC,29.2,16.0,Extruded / Stranded,2.0
Main Switchboard,Steel Frame / Chassis,899.52,Carbon Steel,90.8,Stainless Steel,2.9,26.0,Welded,1.0
Main Switchboard,Earthing and Grounding Bars,17.48,Copper,90.8,Carbon Steel,3.8,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,18.04,Copper,51.9,Silver-Tin Oxide,21.6,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,35.36,Carbon Steel,55.7,Copper,23.8,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,27.01,Carbon Steel,88.6,Polyamide,8.1,28.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,11.93,Polyamide,73.1,Polycarbonate,21.5,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Protection Relays and Meters,12.59,FR4 Composite,43.8,Copper,29.4,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,902.87,Carbon Steel,97.0,Stainless Steel,3.1,29.0,Welded,1.0
Main Switchboard,Earthing and Grounding Bars,17.54,Copper,96.8,Carbon Steel,3.7,33.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,29.09,Carbon Steel,89.2,Polyamide,8.5,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,20.48,FR4 Composite,50.6,Copper,29.2,13.0,Chemically Bonded / Cast,2.0
Main Switchboard,Protection Relays and Meters,15.39,FR4 Composite,39.8,Copper,33.9,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,14.48,Copper,64.5,PVC,30.9,14.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,11.72,Polyamide,66.5,Polycarbonate,21.5,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Contactors,18.91,Copper,52.2,Silver-Tin Oxide,19.8,8.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,39.55,Carbon Steel,58.1,Copper,23.2,15.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,242.98,Copper,98.1,Carbon Steel,1.1,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,14.99,Copper,67.8,PVC,28.0,15.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Circuit Breakers,34.71,Carbon Steel,53.6,Copper,26.8,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,20.8,FR4 Composite,48.6,Copper,27.2,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,242.08,Cu-ETP Copper,94.3,Carbon Steel,1.1,27.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.01,Polyamide,71.0,Polycarbonate,23.3,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Door Panels and Covers,29.64,Galvanized Steel,83.4,Polyamide,8.4,23.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,19.43,Copper,50.3,Silver-Tin Oxide,20.4,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,18.16,Copper,96.8,Carbon Steel,4.1,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,873.08,Carbon Steel,99.0,Stainless Steel,2.9,31.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,13.65,FR4 Composite,40.5,Copper,32.4,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,14.77,Copper,61.9,PVC,32.1,14.0,Extruded / Stranded,2.0
Main Switchboard,Door Panels and Covers,29.7,Carbon Steel,84.6,Polyamide,8.0,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,231.24,Copper,98.2,Carbon Steel,1.0,30.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,37.7,Carbon Steel,54.5,Copper,27.2,15.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,15.9,Copper,99.0,Carbon Steel,4.2,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.79,FR4 Composite,44.3,Copper,29.6,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,18.32,Copper,48.5,Silver-Tin Oxide,20.1,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,833.43,Carbon Steel,97.9,Stainless Steel,3.2,31.0,Welded,1.0
Main Switchboard,PLC and Logic Assemblies,19.39,FR4 Composite,45.4,Copper,28.1,13.0,Chemically Bonded / Cast,2.0
Main Switchboard,Insulation Panels and Barriers,12.66,Polyamide,67.6,Polycarbonate,23.7,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Earthing and Grounding Bars,16.31,Copper,89.6,Carbon Steel,4.3,34.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,30.07,Carbon Steel,89.5,Polyamide,8.3,27.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,15.3,Copper,62.8,PVC,31.7,16.0,Extruded / Stranded,2.0
Main Switchboard,Steel Frame / Chassis,944.16,Carbon Steel,97.6,Stainless Steel,3.2,33.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,14.45,FR4 Composite,42.6,Copper,31.8,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,11.23,FR Plastics,64.0,Polycarbonate,20.2,12.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Circuit Breakers,34.23,Carbon Steel,54.3,Copper,27.1,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,232.94,Copper,99.0,Carbon Steel,1.0,27.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,17.36,Copper,52.9,Silver-Tin Oxide,21.2,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,22.23,FR4 Composite,47.6,Copper,28.7,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Control Wiring Harness,17.17,Copper,66.7,PVC,31.8,13.0,Extruded / Stranded,2.0
Main Switchboard,Copper Busbar System,219.34,Copper,97.9,Carbon Steel,1.0,28.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,26.83,Carbon Steel,90.9,Polyamide,8.7,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,40.23,Alloy Steel,58.8,Copper,26.8,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,16.52,Copper,52.4,Silver-Tin Oxide,19.4,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,13.02,Polyamide,68.2,Polycarbonate,21.4,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,940.44,Carbon Steel,94.0,Stainless Steel,2.7,27.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,14.58,FR4 Composite,43.6,Copper,30.0,12.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,17.89,Copper,98.4,Carbon Steel,4.1,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,21.47,FR4 Composite,47.6,Copper,27.9,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,219.92,Copper,95.7,Carbon Steel,1.1,21.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,900.78,Carbon Steel,93.4,Stainless Steel,2.9,27.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,12.86,Polyamide,72.9,Polycarbonate,21.3,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Contactors,18.36,Copper,50.7,Silver-Tin Oxide,19.6,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,14.53,Copper,68.8,PVC,30.7,18.0,Extruded / Stranded,2.0
Main Switchboard,Door Panels and Covers,29.12,Carbon Steel,87.6,Polyamide,8.5,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,36.95,Carbon Steel,55.8,Copper,26.9,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,22.24,Epoxy Resin,46.0,Copper,26.8,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,16.89,Copper,98.9,Carbon Steel,4.1,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.02,FR4 Composite,43.4,Copper,30.5,18.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,16.93,Copper,52.8,Silver-Tin Oxide,21.1,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,14.86,Copper,63.1,PVC,30.6,15.0,Extruded / Stranded,2.0
Main Switchboard,Protection Relays and Meters,14.76,FR4 Composite,40.3,Copper,32.9,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,34.42,Carbon Steel,57.4,Copper,23.5,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,223.8,Copper,92.7,Carbon Steel,1.0,22.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,22.73,FR4 Composite,48.7,Copper,29.4,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Door Panels and Covers,26.46,Carbon Steel,87.4,Polyamide,8.2,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,920.15,Carbon Steel,95.4,Stainless Steel,3.2,29.0,Welded,1.0
Main Switchboard,Earthing and Grounding Bars,16.74,Copper,90.4,Carbon Steel,4.1,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,12.75,Polyamide,68.5,Polycarbonate,21.6,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Copper Busbar System,229.66,Copper,98.0,Carbon Steel,1.0,28.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,16.99,Copper,99.0,Carbon Steel,4.3,27.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,21.3,FR4 Composite,47.9,Copper,27.1,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Control Wiring Harness,16.78,Copper,66.0,PVC,27.4,16.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Contactors,19.46,Copper,48.5,Silver-Tin Oxide,18.5,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,29.52,Carbon Steel,90.2,Polyamide,8.1,33.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,899.04,Stainless Steel 316L,94.8,Stainless Steel,2.9,29.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,10.97,Polyamide,69.6,Polycarbonate,22.0,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Circuit Breakers,37.09,Carbon Steel,56.5,Copper,24.8,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,14.51,FR4 Composite,43.3,Copper,31.5,18.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,16.57,Copper,93.5,Carbon Steel,4.3,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,13.02,Polyamide,71.0,Polycarbonate,22.3,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Control Wiring Harness,16.5,Copper,62.5,PVC,29.3,17.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Contactors,18.42,Copper,47.1,Silver-Tin Oxide,21.0,8.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,924.5,Carbon Steel,96.5,Stainless Steel,2.8,28.0,Welded,1.0
Main Switchboard,Withdrawable Circuit Breakers,38.89,Carbon Steel,57.5,Copper,24.4,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,12.6,FR4 Composite,41.6,Copper,31.2,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,239.66,Copper,99.0,Carbon Steel,1.0,24.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,19.46,FR4 Composite,46.0,Copper,26.1,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Door Panels and Covers,28.78,Carbon Steel,90.9,Polyamide,8.1,28.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,28.09,Carbon Steel,87.5,Polyamide,8.6,33.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,16.12,Copper,68.8,PVC,27.7,12.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,10.88,Polyamide,69.4,Polycarbonate,22.7,18.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Earthing and Grounding Bars,17.26,Copper,98.0,Carbon Steel,3.9,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,229.57,Copper,99.0,Carbon Steel,1.0,25.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,37.58,Carbon Steel,57.4,Copper,25.3,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,17.63,Copper,47.8,Silver-Tin Oxide,20.5,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,12.56,PC/ABS Blend,45.0,Copper,32.3,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,19.55,FR4 Composite,48.0,Copper,25.7,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Steel Frame / Chassis,935.14,Carbon Steel,99.0,Stainless Steel,2.7,28.0,Welded,1.0
Main Switchboard,Withdrawable Contactors,17.74,Copper,48.4,Silver-Tin Oxide,19.8,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,11.47,Polyamide,69.9,Polycarbonate,23.0,16.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Control Wiring Harness,14.77,Copper,63.1,PVC,31.5,18.0,Extruded / Stranded,2.0
Main Switchboard,Steel Frame / Chassis,885.39,Carbon Steel,97.1,Stainless Steel,2.7,30.0,Welded,1.0
Main Switchboard,PLC and Logic Assemblies,21.46,FR4 Composite,46.2,Copper,29.2,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Door Panels and Covers,27.84,Carbon Steel,84.1,Polyamide,8.1,26.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,242.5,Copper,99.0,Carbon Steel,1.0,25.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,12.46,FR4 Composite,40.8,Copper,33.2,18.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,17.41,Tinned Copper,94.6,Carbon Steel,3.8,25.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,37.2,Carbon Steel,53.1,Copper,23.3,18.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,29.57,Carbon Steel,87.7,Polyamide,7.5,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.57,FR4 Composite,42.3,Copper,33.4,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,16.73,Copper,63.1,PVC,29.7,14.0,Extruded / Stranded,2.0
Main Switchboard,Earthing and Grounding Bars,17.13,Copper,93.0,Carbon Steel,4.2,27.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,17.12,Copper,51.8,Silver-Tin Oxide,18.6,9.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,20.06,FR4 Composite,48.5,Copper,27.4,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Circuit Breakers,38.93,Carbon Steel,57.8,Copper,23.9,13.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.24,Polyamide,74.0,Polycarbonate,21.5,18.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Copper Busbar System,217.18,Copper,99.0,Carbon Steel,1.0,30.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,911.48,Carbon Steel,91.9,Stainless Steel,3.2,25.0,Welded,1.0
Main Switchboard,Door Panels and Covers,28.99,Carbon Steel,84.8,Polyamide,8.5,29.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,16.21,Copper,96.7,Carbon Steel,4.3,33.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,17.42,Copper,65.7,PVC,30.7,14.0,Extruded / Stranded,2.0
Main Switchboard,Insulation Panels and Barriers,10.85,Polycarbonate,69.0,Polycarbonate,23.9,14.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Copper Busbar System,235.59,Copper,94.0,Carbon Steel,1.0,23.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,886.01,Carbon Steel,92.7,Stainless Steel,2.9,23.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,13.92,FR4 Composite,41.0,Copper,33.7,17.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,40.74,Carbon Steel,55.1,Copper,25.0,15.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,18.09,Copper,50.5,Silver-Tin Oxide,18.4,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,21.36,FR4 Composite,49.0,Copper,27.5,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Door Panels and Covers,29.92,Carbon Steel,88.5,Polyamide,8.0,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,13.24,FR4 Composite,41.5,Copper,31.8,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,19.16,Copper,51.1,Silver-Tin Oxide,18.8,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,21.49,FR4 Composite,49.0,Copper,26.0,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Control Wiring Harness,15.44,Copper,62.7,PVC,31.2,13.0,Extruded / Stranded,2.0
Main Switchboard,Copper Busbar System,242.14,Copper,99.0,Carbon Steel,1.0,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,11.58,Polyamide,72.0,Polycarbonate,20.7,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Earthing and Grounding Bars,17.22,Copper,96.2,Carbon Steel,3.6,27.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Steel Frame / Chassis,917.52,Carbon Steel,93.2,Stainless Steel,3.0,26.0,Welded,1.0
Main Switchboard,Withdrawable Circuit Breakers,37.75,Carbon Steel,51.8,Copper,23.7,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,18.64,Copper,49.8,Silver-Tin Oxide,20.8,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,16.94,Copper,63.6,PVC,27.5,15.0,Extruded / Stranded,2.0
Main Switchboard,PLC and Logic Assemblies,21.92,FR4 Composite,47.3,Copper,29.3,13.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,236.89,Copper,95.7,Carbon Steel,1.1,29.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,12.75,Polyamide,67.5,Polycarbonate,20.7,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Earthing and Grounding Bars,16.79,Copper,98.8,Carbon Steel,4.1,35.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Protection Relays and Meters,14.76,FR4 Composite,41.4,Copper,34.0,18.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,30.14,Carbon Steel,88.8,Polyamide,7.8,27.0,Mechanically Fastened / Bolted,0.0
